order_id,order_date,region,city,channel,customer_segment,category,product,quantity,unit_price_usd,gross_revenue_usd,discount_rate,discount_amount_usd,net_revenue_usd,cogs_usd,shipping_fulfillment_usd,payment_fee_usd,returned_flag,return_amount_usd,gross_profit_usd,net_profit_usd,month
ADH-100001,2025-01-01,North,Kaduna,Online,Retail,Home & Kitchen,Blender,1,111.84,111.84,0.0,0.0,111.84,67.72,5.65,2.01,0,0.0,44.12,36.46,2025-01
ADH-100002,2025-01-01,East,Enugu,Online,Retail,Groceries,Detergent,1,30.49,30.49,0.0,0.0,30.49,26.18,4.68,0.55,0,0.0,4.31,-0.92,2025-01
ADH-100003,2025-01-01,West,Ibadan,POS,Retail,Electronics,Bluetooth Speaker,2,39.77,79.54,0.0,0.0,79.54,59.11,0.0,0.95,0,0.0,20.43,19.48,2025-01
ADH-100004,2025-01-01,West,Ibadan,Online,Retail,Electronics,Smartwatch,3,20.54,61.62,0.0,0.0,61.62,44.24,5.25,1.11,0,0.0,17.38,11.02,2025-01
ADH-100005,2025-01-01,East,Onitsha,Online,SME,Fashion,Cap,1,53.88,53.88,0.0,0.0,53.88,29.29,5.61,0.97,0,0.0,24.59,18.01,2025-01
ADH-100006,2025-01-01,South,Warri,Online,Corporate,Groceries,Cooking Oil,2,28.92,57.84,0.0,0.0,57.84,52.95,4.23,1.04,0,0.0,4.89,-0.38,2025-01
ADH-100007,2025-01-01,East,Enugu,POS,Retail,Health & Beauty,Hair Care,1,41.85,41.85,0.0,0.0,41.85,29.65,0.0,0.5,0,0.0,12.2,11.7,2025-01
ADH-100008,2025-01-01,West,Lagos,Online,Retail,Groceries,Beverage Pack,3,43.66,130.98,0.0,0.0,130.98,118.19,3.88,2.36,0,0.0,12.79,6.55,2025-01
ADH-100009,2025-01-01,West,Abeokuta,Online,Retail,Groceries,Beverage Pack,1,38.21,38.21,0.05,1.91,36.3,32.12,6.45,0.65,0,0.0,4.18,-2.92,2025-01
ADH-100010,2025-01-01,North,Jos,POS,Retail,Home & Kitchen,Cookware Set,1,137.09,137.09,0.0,0.0,137.09,110.34,0.0,1.65,0,0.0,26.75,25.1,2025-01
ADH-100011,2025-01-02,South,Warri,POS,SME,Groceries,Beverage Pack,2,37.08,74.16,0.0,0.0,74.16,65.06,0.0,0.89,0,0.0,9.1,8.21,2025-01
ADH-100012,2025-01-02,West,Ilorin,Online,SME,Electronics,Power Bank,1,18.15,18.15,0.0,0.0,18.15,14.6,5.85,0.33,0,0.0,3.55,-2.63,2025-01
ADH-100013,2025-01-02,East,Aba,Online,Retail,Electronics,Phone Accessory,3,87.66,262.98,0.0,0.0,262.98,213.27,9.94,4.73,0,0.0,49.71,35.04,2025-01
ADH-100014,2025-01-02,North,Jos,Wholesale,Retail,Electronics,Power Bank,10,41.98,419.8,0.0,0.0,419.8,275.37,2.36,3.36,1,381.62,144.43,-242.91,2025-01
ADH-100015,2025-01-02,East,Onitsha,Online,Retail,Fashion,Cap,1,77.32,77.32,0.0,0.0,77.32,57.67,4.98,1.39,0,0.0,19.65,13.28,2025-01
ADH-100016,2025-01-02,West,Ilorin,Wholesale,SME,Health & Beauty,Face Wash,10,16.99,169.9,0.0,0.0,169.9,121.33,0.81,1.36,0,0.0,48.57,46.4,2025-01
ADH-100017,2025-01-02,South,Uyo,Online,SME,Electronics,Earbuds,1,34.88,34.88,0.0,0.0,34.88,26.14,3.76,0.63,0,0.0,8.74,4.35,2025-01
ADH-100018,2025-01-02,West,Lagos,Online,Retail,Electronics,Smartwatch,2,99.23,198.46,0.0,0.0,198.46,145.11,8.85,3.57,0,0.0,53.35,40.93,2025-01
ADH-100019,2025-01-02,South,Benin,POS,Corporate,Fashion,Handbag,2,74.04,148.08,0.0,0.0,148.08,79.35,0.0,1.78,0,0.0,68.73,66.95,2025-01
ADH-100020,2025-01-02,South,Uyo,Online,Retail,Electronics,Smartwatch,1,107.32,107.32,0.0,0.0,107.32,82.96,5.19,1.93,0,0.0,24.36,17.24,2025-01
ADH-100021,2025-01-02,West,Ibadan,Wholesale,Retail,Electronics,Bluetooth Speaker,12,91.16,1093.92,0.0,0.0,1093.92,869.65,1.65,8.75,0,0.0,224.27,213.87,2025-01
ADH-100022,2025-01-02,North,Abuja,POS,Retail,Groceries,Cooking Oil,1,23.5,23.5,0.0,0.0,23.5,19.8,0.0,0.28,0,0.0,3.7,3.42,2025-01
ADH-100023,2025-01-02,East,Onitsha,POS,Retail,Home & Kitchen,Kettle,1,94.78,94.78,0.0,0.0,94.78,63.31,0.0,1.14,0,0.0,31.47,30.33,2025-01
ADH-100024,2025-01-02,South,Benin,Online,Retail,Home & Kitchen,Blender,2,116.95,233.9,0.0,0.0,233.9,198.4,4.23,4.21,0,0.0,35.5,27.06,2025-01
ADH-100025,2025-01-02,East,Onitsha,Online,Corporate,Health & Beauty,Toiletries Set,1,51.37,51.37,0.086,4.42,46.95,26.51,3.61,0.85,0,0.0,20.44,15.98,2025-01
